电影ID,电影名
0,我不是药神
1,老炮儿
2,唐人街探案2
3,驴得水
4,人在囧途
5,无人区
6,鬼子来了
7,无问西东
8,邪不压正
9,11度青春之
10,比利
11,钢的琴
12,心迷宫
13,归来
14,如果
15,碟中谍5
16,独自等待
17,甲方乙方
18,无间道3
19,叶问2
20,暴裂无声
21,三生三世十里桃花
22,红高粱
23,百鸟朝凤
24,不见不散
25,一个陌生女人的来信
26,一个都不能少
27,有话好好说
28,宝莲灯
29,我的父亲母亲
30,我们俩
31,盲山
32,黄飞鸿之三
33,九色鹿
34,三毛从军记
35,那山那人那狗
36,芙蓉镇
37,顽主
38,忍者神龟2
39,茉莉花开
40,红河谷
41,卡拉是条狗
42,黄河绝恋
43,冲出亚马逊
44,城南旧事
45,红樱桃
46,爱情麻辣烫
47,小兵张嘎
48,地雷战
49,小城之春
50,闪闪的红星
51,霹雳贝贝
52,茶馆
53,倭寇的踪迹
54,二子开店
55,黄飞鸿之四
56,黄土地
57,天狗
58,过年
59,神女
60,天堂回信
61,光荣的愤怒
62,红色恋人
63,三毛流浪记
64,我的1919
65,世界上最疼我的那个人去了
66,董存瑞
67,骆驼祥子
68,战神纪
69,大撒把
70,老井
71,庐山恋
72,英雄儿女
73,剃头匠
74,冰山上的来客
75,上甘岭
76,一江春水向东流
77,我的九月
78,黑楼孤魂
79,边城
80,巧奔妙逃
81,瞧这一家子
82,警察有约
83,405
84,牧马人
85,平原游击队
86,孝子贤孙伺候着
87,大闹天宫
88,永不消逝的电波
89,神鞭
90,林则徐
91,太太万岁
92,高山下的花环
93,哀乐中年
94,大决战之辽沈战役
95,我这一辈子
96,早春二月
97,站直啰，别趴下
98,缉枪
99,回到被爱的每一天
100,大决战之淮海战役
101,香魂女
102,小花
103,北京，你早
104,大李小李和老李
105,乌鸦与麻雀
106,开国大典
107,大决战之平津战役
108,祝福
109,切尔诺贝利之春
110,黄河大侠
111,横空出世
112,周恩来的四个昼夜
113,人生
114,周恩来
115,南征北战
116,渡江侦察记
117,今天我休息
118,一个和八个
119,铁扇公主
120,灵魂摆渡之风华绝代
121,烈火中永生
122,白毛女
123,死亡派对
124,林家铺子
125,十字街头
126,盗马贼
127,喜盈门
128,天生胆小
129,渔光曲
130,小街
131,林海雪原
132,黑猫警长电影版
133,人到中年
134,洪湖赤卫队
135,武训传
136,烈火金钢
137,霓虹灯下的哨兵
138,雷锋
139,青春之歌
140,柳堡的故事
141,舞台姐妹
142,万家灯火
143,野火春风斗古城
144,李双双
145,大桥下面
146,新女性
147,战争子午线
148,一半是火焰，一半是海水
149,戴手铐的旅客
150,千钧
151,春桃
152,草房子
153,咱们的牛百岁
154,小小得月楼
155,女大学生宿舍
156,党的女儿
157,红衣少女
158,东归英雄传
159,夜店
160,在勾引中学会爱
161,烛光里的微笑
162,五女拜寿
163,女篮五号
164,八千里路云和月
165,智取华山
166,九香
167,笔中情
168,知音
169,青春万岁
170,摇篮
171,苦菜花
172,甜蜜的事业
173,抓壮丁
174,女理发师
175,西藏天空
176,小玩意
177,被爱情遗忘的角落
178,白求恩大夫
179,孔夫子
180,苗苗
181,沙鸥
182,泉水叮咚
183,满意不满意
184,T省的八四
185,鲁迅
186,美男记
187,保密局的枪声
188,归心似箭
189,赛虎
190,老店
191,杨门女将之情定穆柯寨
192,战上海
193,红灯记
194,聂耳
195,摘星的你
196,桃李劫
197,原野
198,三进山城
199,魔术师的奇遇
200,乔老爷上轿
201,西安事变
202,杨贵妃
203,邻居
204,李时珍
205,完美动物
206,西岳奇童
207,迷途英雄
208,春苗
209,龙须沟
210,邮缘
211,现世活宝
212,爱情天梯
213,大转折
214,关连长
215,风云儿女
216,我们村里的年轻人
217,红日
218,浪淘沙
219,红孩子
220,下次开船
221,原谅我，又一次撒了谎
222,春蚕
223,小小爸爸
224,秘密图纸
225,新旧上海
226,古玩
227,女娲日记
228,奇袭
229,马兰花
230,孙悟空三打白骨精
231,红牡丹
232,晚钟
233,七七事变
234,黄连
235,天降
236,狼山喋血记
237,阙里人家
238,大浪淘沙
239,特高课在行动
240,再生花
241,男生贾里
242,大喘气
243,刘三姐
244,大会师
245,红旗谱
246,海角有个五店市
247,落经山
248,老少爷们上法场
249,国庆十点钟
250,刑场上的婚礼
251,杜鹃山
252,战火中的青春
253,碧玉簪
254,护士日记
255,十五贯
256,侦察兵
257,离婚
258,廉吏于成龙
259,海外赤子
260,阿宝的故事
261,第二次握手
262,超导
263,小二黑结婚
264,四个小伙伴
265,李四光
266,秋翁遇仙记
267,母亲快乐
